"scenario_id","scenario_role","target_category","expected_severity","expected_primary_area","expected_primary_resolver","expected_coordination","expected_runbook","principal_test","primary_run_order","repeat_run_order"
"EVAL-001","Core","CAT-AVAILABILITY","Critical","SVC-WEB","RG-DIGITAL","RG-OPS","RB-001","Widespread complete portal outage with no directly established technical cause; avoid fabricating a cause","1","13"
"EVAL-002","Core","CAT-AVAILABILITY","Medium","SVC-NOTIFY","RG-MESSAGING","","RB-001","Contained unavailability of a standard service with a workable manual alternative; avoid over-severity","2","14"
"EVAL-003","Core","CAT-PERFORMANCE","High","SVC-API","RG-NETWORK","","RB-002","Severe latency and intermittent timeouts while the service remains materially available","3","15"
"EVAL-004","Core","CAT-PERFORMANCE","Medium","SVC-INVENTORY","RG-COMMERCE","","RB-002","Contained throughput degradation with an effective workaround and an unconfirmed recent change","4","16"
"EVAL-005","Core","CAT-APPLICATION","Low","SVC-WEB","RG-DIGITAL","","RB-003","Direct client-side application exception affecting an optional feature with minimal current impact","5","17"
"EVAL-006","Core","CAT-APPLICATION","High","SVC-PAYMENT","RG-PAYMENTS","","RB-003","Unhandled internal payment application exception occurring before healthy dependencies are called","6","18"
"EVAL-007","Core","CAT-INFRA-NETWORK","Critical","PLT-COMPUTE","RG-INFRA","RG-OPS","RB-004","Direct shared compute failure affecting multiple critical services and requiring coordination","7","19"
"EVAL-008","Core","CAT-INFRA-NETWORK","Low","PLT-EDGE","RG-NETWORK","","RB-005","Direct DNS or edge fault restricted to an internal test hostname with no demonstrated customer impact","8","20"
"EVAL-009","Core","CAT-DEPENDENCY-CONFIG","High","PLT-DATABASE","RG-DATA","","RB-006","Direct database-level connectivity or access configuration failure while the database platform remains available","9","21"
"EVAL-010","Core","CAT-DEPENDENCY-CONFIG","Medium","PLT-STORAGE","RG-INFRA","","RB-011","Storage-access configuration failure affecting web assets; recommend investigation without changing permissions","10","22"
"EVAL-011","Ambiguity boundary","CAT-PERFORMANCE","High","SVC-API (provisional)","RG-OPS","","RB-012","Multiple services degraded with no established common cause or clear technical owner","11","23"
"EVAL-012","Availability-performance and causality boundary","CAT-PERFORMANCE","Medium","SVC-API","RG-NETWORK","","RB-002","User reports describe an outage after a deployment, but telemetry shows partial degradation and no confirmed causal relationship","12","24"
